1 1:1.4610708824979217 2:1.1879594658567443 3:1.1569897647262892 4:1.023666852513335 5:1.0204637476129987 6:0.8708572844068915 7:0.7982872624508126 8:0.6642576125335851 9:0.6144529563120558 10:0.611847380477527 11:0.6000950543851512 12:0.5540823910805505 13:0.5533810237562541 14:0.5482663206064295 15:0.5321193743100305 16:0.5227366328988396 17:0.5111926005100833 18:0.5073223360085732 19:0.5068050693270387 20:0.4887658537992389 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0.007765187278258831 20:0 
1 1:0 2:0.0018617801827167197 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0.005516495384554776 19:0.00919415897425796 20:0 
1 1:0 2:0 3:0.25756241703698646 4:0.05568724628509139 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0 2:0 3:0.03223095584183773 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0.011712169285328079 
1 1:0.007914822081102136 2:0.01007805334428124 3:0.008026627999222137 4:0.017007186027608995 5:0 6:0.014328093685563195 7:0 8:0 9:0 10:0 11:0 12:0 13:0.007558540008210929 14:0.0054694977643454604 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0.015339678985755093 2:0.05193796777070653 3:0.016970584912641088 4:0.03082118610717711 5:0 6:0.029031446967653047 7:0.005261310564044759 8:0 9:0 10:0 11:0.00134018411637797 12:0 13:0.006658713816757247 14:0.00578204049373663 15:0 16:0.008546420339422182 17:0 18:0 19:0 20:0 
1 1:0.179819203421531 2:0 3:0 4:0 5:0 6:0 7:0.06784321516794557 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0.022185486136422655 2:0.012712090013809291 3:0.03599821042075383 4:0.028602994682796944 5:0 6:0.03614587270676169 7:0.004185133403217422 8:0 9:0 10:0.004782731418564684 11:0.004264222188475359 12:0 13:0.004237363337936431 14:0 15:0 16:0.018128770416956146 17:0 18:0 19:0 20:0 
1 1:0.002328153229989158 2:0.013340114903758983 3:0.0023610410582606853 4:0.004288012831492557 5:0 6:0.021073119049181528 7:0.00658784201801175 8:0 9:0.012347531354926743 10:0.010038032551399812 11:0 12:0.0050607009653660445 13:0.008893409935839322 14:0.009653151079832873 15:0 16:0.0023780499524797666 17:0 18:0 19:0 20:0 
1 1:0.008577150288725747 2:0 3:0.0028994374502071592 4:0.007898734933324679 5:0 6:0.0025878495568764765 7:0.013483484186097969 8:0 9:0.006065272724135562 10:0.003081759993552139 11:0.001373828905910471 12:0 13:0.0013651756360715695 14:0.001481799080507818 15:0 16:0.002920324941643563 17:0 18:0.00809009051165878 19:0.00404504525582939 20:0.00790203890066591 
1 1:0.009425006524163004 2:0.00900074419368566 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0.017779601216427115 19:0 20:0 
1 1:0 2:0.009229900340059551 3:0 4:0 5:0 6:0 7:0.009116132165424087 8:0.0025817026803808835 9:0 10:0.004167132325086061 11:0 12:0.0063026127298512055 13:0 14:0 15:0 16:0 17:0.002414659806154583 18:0.02552517006318744 19:0.005469679299254452 20:0.012822091975733993 
1 1:0.002964481444693353 2:0.005662073353945426 3:0 4:0 5:0 6:0.0026832800177591233 7:0 8:0.003959357472948557 9:0 10:0 11:0.002848981418764448 12:0.02899748720176661 13:0 14:0 15:0 16:0 17:0 18:0.030757553080478575 19:0.0055922823782688326 20:0 
1 1:0.03693583637847664 2:0 3:0 4:0 5:0.014857410233996428 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0.02515162742532654 17:0 18:0 19:0 20:0.013611439980246146 
1 1:0 2:0 3:0 4:0.0041467274004713854 5:0.06792308632510723 6:0.016303025873963175 7:0.019112339034132935 8:0 9:0.00955255473521186 10:0 11:0 12:0.004893956287759255 13:0 14:0 15:0 16:0.01609787027139928 17:0.014062310403223147 18:0.004247186452029541 19:0.004247186452029541 20:0.004978154325559546 
1 1:0 2:0.002448607707475461 3:0 4:0.018889782604773968 5:0.12067116116880025 6:0.025528917392226104 7:0 8:0 9:0.008159100456294931 10:0.016582528445605132 11:0.0049282567881816525 12:0 13:0.002448607707475461 14:0.0026577859680402896 15:0 16:0.07595036461737911 17:0.01601467620029353 18:0.012092130283217317 19:0.02176583450979117 20:0 
1 1:0 2:0 3:0.0017952475404132413 4:0.0032604449897488744 5:0.03204350782332131 6:0.0016023213577551242 7:0.008348582177402628 8:0 9:0.001877720441798445 10:0 11:0 12:0.007695936442149918 13:0 14:0.00183497399088792 15:0 16:0.0018081804690487347 17:0 18:0.01502744791932473 19:0.005009149306441577 20:0.005871255846401511 
1 1:0.023163151627180266 2:0 3:0.003915059607906842 4:0.005332761720521464 5:0.034940096101135666 6:0.0069886558654630275 7:0.007282605018028056 8:0 9:0.0061423736485949135 10:0 11:0.011130342661444156 12:0.004195807156313373 13:0.0018433727515316674 14:0 15:0 16:0.005914895432650945 17:0 18:0.012744558781549098 19:0.007282605018028056 20:0.02987595724477756 
1 1:0 2:0 3:0.031144519128067916 4:0 5:0 6:0 7:0.014483383013381639 8:0 9:0 10:0 11:0.014757083528656297 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0.007240402362933169 2:0.0017286197458071795 3:0.0036713406654278738 4:0.018336224405925458 5:0.004368668969466499 6:0.04259840303690179 7:0 8:0 9:0 10:0.0039022020580607216 11:0.013916613870732826 12:0.005901916821198413 13:0.005185859237421538 14:0 15:0 16:0.007395577865460255 17:0 18:0 19:0.0017073126995906832 20:0.018010368927504506 
1 1:0.012537852715629686 2:0.02394693409329212 3:0.01271496423118369 4:0 5:0 6:0.022697102535540477 7:0.02365176308607277 8:0 9:0 10:0 11:0 12:0 13:0 14:0.012996329550141966 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0.022777099100060594 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0 2:0 3:0 4:0.004821960789437032 5:0 6:0 7:0 8:0.05594678298940336 9:0 10:0 11:0.005032108942721879 12:0 13:0.005000413440936477 14:0 15:0 16:0 17:0.006540860087935978 18:0.004938778115674198 19:0.004938778115674198 20:0 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0.03160246241138157 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0 2:0.0369370162665402 3:0 4:0 5:0 6:0.011669736681009017 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0.012160576303688357 19:0.012160576303688357 20:0 
1 1:0 2:0.0369370162665402 3:0 4:0 5:0 6:0.011669736681009017 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0.012160576303688357 19:0.012160576303688357 20:0 
1 1:0 2:0 3:0.009428102729245049 4:0 5:0 6:0 7:0.008768850940074598 8:0 9:0 10:0.08016768853975088 11:0.017869121551706266 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 
1 1:0.028923300444521387 2:0.0034526664235037577 3:0 4:0 5:0 6:0 7:0.006820217397835798 8:0 9:0 10:0 11:0.010423654238495322 12:0 13:0.0069053328470075155 14:0 15:0 16:0 17:0 18:0.013640434795671596 19:0 20:0 
1 1:0.01022413425937882 2:0.04881949780864416 3:0 4:0 5:0 6:0 7:0 8:0.01820712014991805 9:0.018074815225291765 10:0 11:0.013101051711226039 12:0.007408058520373736 13:0.006509266374485888 14:0 15:0 16:0 17:0 18:0.01285806571761562 19:0 20:0 
1 1:0 2:0.0042282113652843 3:0.00898011512655954 4:0.006795527894401001 5:0 6:0.002671689175349797 7:0 8:0 9:0 10:0.009544803090180923 11:0.009928361812476106 12:0.011228088696916348 13:0.0084564227305686 14:0.0015298055302002962 15:0 16:0.001507467950438038 17:0 18:0.009744219889132572 19:0.002784062825466449 20:0.008158044480601092 
1 1:0 2:0 3:0.0033315651471130347 4:0 5:0.05153664174917511 6:0.0029735386735263362 7:0 8:0 9:0.013938463279503844 10:0 11:0.0031571645049288713 12:0.0035704705128243607 13:0 14:0 15:0 16:0 17:0.004103760776325217 18:0 19:0.018591650310446624 20:0 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0.08761266216140567 9:0 10:0 11:0.010507043472403284 12:0 13:0.010440863264675365 14:0 15:0 16:0.02233464515368997 17:0 18:0 19:0 20:0 
1 1:0.03867809281142365 2:0 3:0 4:0.0059364705945427615 5:0.03889557867862273 6:0.011669736681009017 7:0.04256201706290925 8:0 9:0.013675473406305656 10:0 11:0.006195190726652879 12:0 13:0.0061561693777567005 14:0.0066820750988937465 15:0 16:0.006584506236347278 17:0 18:0.006080288151844178 19:0.018240864455532534 20:0.04988721162571347 
1 1:0.01129442930581517 2:0 3:0 4:0.010401088975562524 5:0 6:0.010223075108983107 7:0.03195920053366031 8:0.030169649504616276 9:0 10:0.02434845085814748 11:0 12:0 13:0.010786015769292731 14:0 15:0.02756456101929945 16:0.011536490265335729 17:0 18:0 19:0 20:0 
1 1:0 2:0.027533922111485663 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0.0062671549929744046 13:0 14:0 15:0 16:0 17:0 18:0.00543890754510956 19:0.00543890754510956 20:0 
1 1:0 2:0.011250930242107073 3:0 4:0.016274117664349986 5:0.03554251155115525 6:0 7:0.005556125380133474 8:0 9:0 10:0 11:0.011322245121124229 12:0 13:0.005625465121053537 14:0 15:0.007188172162360416 16:0 17:0.014716935197855949 18:0 19:0.005556125380133474 20:0 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0.04632377615743379 16:0 17:0.047421235637535836 18:0 19:0.03580614133863794 20:0 
1 1:0 2:0 3:0.011745178823720528 4:0.005332761720521464 5:0.027952076880908536 6:0.010482983798194541 7:0.005461953763521042 8:0 9:0.030711868242974567 10:0 11:0.022260685322888312 12:0 13:0.005530118254595003 14:0 15:0 16:0 17:0 18:0.016385861290563127 19:0.016385861290563127 20:0.025607963352666477 
1 1:0 2:0.007291105631756539 3:0 4:0 5:0 6:0.013821140650133585 7:0.04320741077735081 8:0 9:0.01619665006780335 10:0.024688513020970766 11:0 12:0 13:0.02187331689526962 14:0.007913966038913265 15:0.06521559548420848 16:0.007798409620701805 17:0 18:0 19:0.007201235129558468 20:0.008440613619035319 
1 1:0 2:0 3:0.03553669490253903 4:0.016135022641577762 5:0 6:0 7:0 8:0 9:0 10:0.01888565739638362 11:0 12:0 13:0 14:0 15:0.04276040876070812 16:0.017896350283405422 17:0 18:0 19:0 20:0 
1 1:0 2:0.001241777267444739 3:0 4:0.002394922485334092 5:0 6:0.017654501734352367 7:0.0012264710639305098 8:0 9:0 10:0 11:0 12:0 13:0.001241777267444739 14:0.004043577319596977 15:0 16:0 17:0 18:0.0036794131917915296 19:0.006132355319652549 20:0 
1 1:0.058906290776018784 2:0 3:0 4:0 5:0.03317301078107823 6:0 7:0 8:0 9:0.004165517761690804 10:0 11:0.0075481634140828185 12:0 13:0.0037503100807023577 14:0.028494825996431952 15:0.014376344324720833 16:0 17:0.058867740791423796 18:0 19:0.007408167173511298 20:0 
1 1:0.010968105505647155 2:0.0020948762569573363 3:0 4:0.0020201151942906346 5:0.023824322349538414 6:0.005956623217593687 7:0.0268977113105659 8:0 9:0.0023268060691306576 10:0 11:0.027406012267504554 12:0.004768268806853721 13:0 14:0.025012197641444973 15:0.005353630631356715 16:0 17:0.06302533404154041 18:0.008276218864789507 19:0.010345273580986884 20:0.007275456682860299 
1 1:0 2:0 3:0 4:0.04935418690364963 5:0.04042089548954911 6:0.024254746827195212 7:0.006318730824465519 8:0 9:0.03552941620265685 10:0 11:0.006438139382600051 12:0 13:0.03198793892363776 14:0 15:0 16:0.027370888668737707 17:0 18:0 19:0.006318730824465519 20:0.014812449390267865 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0.027042400451558726 8:0 9:0 10:0 11:0.06429134991855157 12:0.07270776317024152 13:0 14:0 15:0.02332385932402261 16:0.009761645609130232 17:0 18:0 19:0 20:0.010565523341309946 
1 1:0.028177854556775992 2:0 3:0 4:0.038923662867311304 5:0.08500889360688678 6:0.0510099830180188 7:0.039866631593535026 8:0 9:0.014944331763591749 10:0 11:0 12:0.015312533333349835 13:0.013454720701901242 14:0.01460412289655128 15:0.03438465859108488 16:0.01439087960933632 17:0 18:0 19:0 20:0.031151955418707675 
1 1:0 2:0.006127267174105261 3:0 4:0.011817199681155546 5:0.0038712970328018863 6:0.01742242377728107 7:0.012103484396159304 8:0 9:0.0034028173264516424 10:0.013831749079041526 11:0.015415263310450827 12:0 13:0.006127267174105261 14:0.016626759635745003 15:0.011744055927236737 16:0.006553593061528747 17:0.048089140364825075 18:0.006051742198079652 19:0.012103484396159304 20:0.0035466428117542775 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0.01741920389447251 8:0 9:0 10:0 11:0 12:0 13:0.05290978005747651 14:0 15:0.06760767331084933 16:0.018863720568994907 17:0 18:0 19:0 20:0 
1 1:0 2:0.03209281741191198 3:0 4:0.07221083903525785 5:0 6:0.01013927941136849 7:0 8:0 9:0 10:0.024148873392097092 11:0 12:0 13:0 14:0.02322294952402417 15:0 16:0 17:0 18:0 19:0 20:0.02476835799684135 
1 1:0 2:0 3:0 4:0 5:0 6:0 7:0.03032990795743449 8:0 9:0 10:0 11:0.015451534518240124 12:0 13:0.015354210683346125 14:0 15:0.039238963333355685 16:0 17:0.04016857606944212 18:0 19:0.03032990795743449 20:0 
